,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2849,Si Te Vas,0.545,0.89,2,-3.129,1,0.0868,0.546,0.0,0.139,0.891,177.086,audio_features,2osTXwOKvyc49FA1SkEQhs,spotify:track:2osTXwOKvyc49FA1SkEQhs,https://api.spotify.com/v1/tracks/2osTXwOKvyc49FA1SkEQhs,https://api.spotify.com/v1/audio-analysis/2osTXwOKvyc49FA1SkEQhs,286133,4
2850,Raquel,0.549,0.444,5,-11.765,1,0.0346,0.781,0.968,0.0693,0.479,107.672,audio_features,4dNw91JgYjOY8rFvy4xBvb,spotify:track:4dNw91JgYjOY8rFvy4xBvb,https://api.spotify.com/v1/tracks/4dNw91JgYjOY8rFvy4xBvb,https://api.spotify.com/v1/audio-analysis/4dNw91JgYjOY8rFvy4xBvb,248000,3
2851,This Girl (Kungs Vs. Cookin' On 3 Burners),0.792,0.717,0,-4.759,0,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,audio_features,1A8j067qyiNwQnZT0bzUpZ,spotify:track:1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/audio-analysis/1A8j067qyiNwQnZT0bzUpZ,195547,4
2852,Church Of The Lonely,0.548,0.686,10,-5.867,1,0.041,0.0718,0.0,0.177,0.213,77.488,audio_features,6PK0kTSblI5AyWsOv5UkaR,spotify:track:6PK0kTSblI5AyWsOv5UkaR,https://api.spotify.com/v1/tracks/6PK0kTSblI5AyWsOv5UkaR,https://api.spotify.com/v1/audio-analysis/6PK0kTSblI5AyWsOv5UkaR,235420,4
2853,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.745,0.609,9,-10.14,1,0.0331,0.357,0.00734,0.958,0.609,99.939,audio_features,2pNllR1aL6MFh1npf0376T,spotify:track:2pNllR1aL6MFh1npf0376T,https://api.spotify.com/v1/tracks/2pNllR1aL6MFh1npf0376T,https://api.spotify.com/v1/audio-analysis/2pNllR1aL6MFh1npf0376T,319933,4
2854,You Ain't Seen Nothing Yet,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,audio_features,0HOrDVS349XFcpCYsO2hAP,spotify:track:0HOrDVS349XFcpCYsO2hAP,https://api.spotify.com/v1/tracks/0HOrDVS349XFcpCYsO2hAP,https://api.spotify.com/v1/audio-analysis/0HOrDVS349XFcpCYsO2hAP,234867,4
2855,Want You So Bad,0.482,0.841,3,-4.165,0,0.0982,0.0129,0.233,0.102,0.567,176.069,audio_features,69Wh0ipeW1z2x78lOpsKuL,spotify:track:69Wh0ipeW1z2x78lOpsKuL,https://api.spotify.com/v1/tracks/69Wh0ipeW1z2x78lOpsKuL,https://api.spotify.com/v1/audio-analysis/69Wh0ipeW1z2x78lOpsKuL,258720,4
2856,Pug Life - Instrumental,0.758,0.902,11,-8.243,0,0.056,0.0771,0.807,0.367,0.68,94.976,audio_features,7usDnd3jQUDUTVmpsaO1rc,spotify:track:7usDnd3jQUDUTVmpsaO1rc,https://api.spotify.com/v1/tracks/7usDnd3jQUDUTVmpsaO1rc,https://api.spotify.com/v1/audio-analysis/7usDnd3jQUDUTVmpsaO1rc,193316,4
2857,Coming Alive,0.634,0.593,9,-4.154,0,0.0458,0.549,1.7e-05,0.139,0.118,93.955,audio_features,5vqjvuNViINnypB6MqDSMB,spotify:track:5vqjvuNViINnypB6MqDSMB,https://api.spotify.com/v1/tracks/5vqjvuNViINnypB6MqDSMB,https://api.spotify.com/v1/audio-analysis/5vqjvuNViINnypB6MqDSMB,235569,4
2858,Nagoya Nights,0.737,0.613,4,-6.597,0,0.0515,0.14,0.908,0.218,0.464,89.013,audio_features,0L6TOhUxepSu7ICdpk500b,spotify:track:0L6TOhUxepSu7ICdpk500b,https://api.spotify.com/v1/tracks/0L6TOhUxepSu7ICdpk500b,https://api.spotify.com/v1/audio-analysis/0L6TOhUxepSu7ICdpk500b,121751,4
2859,Birmingham (feat. Robert Randolph & Keb' Mo'),0.499,0.932,8,-5.005,1,0.0371,0.00692,0.021,0.341,0.949,180.029,audio_features,3dTL2sJkheAlLrygZScyTt,spotify:track:3dTL2sJkheAlLrygZScyTt,https://api.spotify.com/v1/tracks/3dTL2sJkheAlLrygZScyTt,https://api.spotify.com/v1/audio-analysis/3dTL2sJkheAlLrygZScyTt,263680,4
2860,"Goldberg Variations, BWV 988",0.274,0.169,7,-16.205,1,0.0459,0.993,0.919,0.111,0.431,83.624,audio_features,6qK0eQCjN3HBLUoUoA5ihu,spotify:track:6qK0eQCjN3HBLUoUoA5ihu,https://api.spotify.com/v1/tracks/6qK0eQCjN3HBLUoUoA5ihu,https://api.spotify.com/v1/audio-analysis/6qK0eQCjN3HBLUoUoA5ihu,291114,4
2861,Mean Mistreater,0.554,0.49,9,-8.725,1,0.0267,0.736,0.00728,0.327,0.578,67.591,audio_features,0tYJ6uY0ETQOtOM8KySMSp,spotify:track:0tYJ6uY0ETQOtOM8KySMSp,https://api.spotify.com/v1/tracks/0tYJ6uY0ETQOtOM8KySMSp,https://api.spotify.com/v1/audio-analysis/0tYJ6uY0ETQOtOM8KySMSp,232453,4
2862,For Tomorrow - 2012 Remaster,0.631,0.84,2,-6.025,1,0.0285,0.0143,0.0,0.0712,0.653,95.849,audio_features,3rWlZxRCrBMcEL3QsSidr4,spotify:track:3rWlZxRCrBMcEL3QsSidr4,https://api.spotify.com/v1/tracks/3rWlZxRCrBMcEL3QsSidr4,https://api.spotify.com/v1/audio-analysis/3rWlZxRCrBMcEL3QsSidr4,261240,4
2863,Amok,0.647,0.908,11,-5.468,0,0.07,0.035,0.000302,0.107,0.237,127.011,audio_features,4alEFELoNMGNKyL4FG936L,spotify:track:4alEFELoNMGNKyL4FG936L,https://api.spotify.com/v1/tracks/4alEFELoNMGNKyL4FG936L,https://api.spotify.com/v1/audio-analysis/4alEFELoNMGNKyL4FG936L,233440,4
2864,Karma Police,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,audio_features,63OQupATfueTdZMWTxW03A,spotify:track:63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/tracks/63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/audio-analysis/63OQupATfueTdZMWTxW03A,264067,4
2865,Le chiavi in borsa,0.571,0.709,1,-7.129,1,0.0929,0.583,1.49e-06,0.0774,0.613,102.728,audio_features,44TOxFU2J2QsIHwov9eU5c,spotify:track:44TOxFU2J2QsIHwov9eU5c,https://api.spotify.com/v1/tracks/44TOxFU2J2QsIHwov9eU5c,https://api.spotify.com/v1/audio-analysis/44TOxFU2J2QsIHwov9eU5c,168787,4
2866,Gold Chains,0.66,0.708,10,-9.142,1,0.117,0.101,0.00185,0.0869,0.908,75.219,audio_features,0T7PAJKN2k6k7kBSWIcw34,spotify:track:0T7PAJKN2k6k7kBSWIcw34,https://api.spotify.com/v1/tracks/0T7PAJKN2k6k7kBSWIcw34,https://api.spotify.com/v1/audio-analysis/0T7PAJKN2k6k7kBSWIcw34,218307,4
2867,Tak Tiki Tak,0.801,0.579,11,-4.78,0,0.0813,0.333,0.000355,0.172,0.231,99.994,audio_features,7gwwt1IaAWwmB7af0AcuBM,spotify:track:7gwwt1IaAWwmB7af0AcuBM,https://api.spotify.com/v1/tracks/7gwwt1IaAWwmB7af0AcuBM,https://api.spotify.com/v1/audio-analysis/7gwwt1IaAWwmB7af0AcuBM,212406,4
2868,American Spirits,0.503,0.824,1,-4.779,0,0.0285,0.0508,0.0,0.102,0.877,158.073,audio_features,01w1oN1WO5aOThHnLBN8eS,spotify:track:01w1oN1WO5aOThHnLBN8eS,https://api.spotify.com/v1/tracks/01w1oN1WO5aOThHnLBN8eS,https://api.spotify.com/v1/audio-analysis/01w1oN1WO5aOThHnLBN8eS,170000,4
2869,Ghost Ship,0.803,0.722,2,-6.421,1,0.0377,0.0324,0.00264,0.0763,0.857,139.981,audio_features,61JDaStnXY3vbaEjliB5WA,spotify:track:61JDaStnXY3vbaEjliB5WA,https://api.spotify.com/v1/tracks/61JDaStnXY3vbaEjliB5WA,https://api.spotify.com/v1/audio-analysis/61JDaStnXY3vbaEjliB5WA,299133,4
2870,My Heart Went Oops,0.96,0.412,1,-11.281,1,0.607,0.119,0.0,0.0903,0.49,121.027,audio_features,42EG9CclEoBnRq7X5B7O9j,spotify:track:42EG9CclEoBnRq7X5B7O9j,https://api.spotify.com/v1/tracks/42EG9CclEoBnRq7X5B7O9j,https://api.spotify.com/v1/audio-analysis/42EG9CclEoBnRq7X5B7O9j,128926,4
2871,Praying To The Lord,0.713,0.59,7,-8.224,0,0.362,0.598,1.54e-06,0.178,0.551,85.489,audio_features,6RUoxmlNWaS9PHHUCaxoso,spotify:track:6RUoxmlNWaS9PHHUCaxoso,https://api.spotify.com/v1/tracks/6RUoxmlNWaS9PHHUCaxoso,https://api.spotify.com/v1/audio-analysis/6RUoxmlNWaS9PHHUCaxoso,180000,4
2872,Daydreaming,0.697,0.771,7,-6.222,0,0.0634,0.535,0.00274,0.163,0.662,83.986,audio_features,3YuXIIgbfThb5RtNVKagaS,spotify:track:3YuXIIgbfThb5RtNVKagaS,https://api.spotify.com/v1/tracks/3YuXIIgbfThb5RtNVKagaS,https://api.spotify.com/v1/audio-analysis/3YuXIIgbfThb5RtNVKagaS,199507,4
2873,Daffodils (feat. Kevin Parker),0.724,0.538,0,-8.041,1,0.0381,0.0408,0.0139,0.0343,0.282,108.945,audio_features,1v0ufp7FLTFcykUGOmFZKa,spotify:track:1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/tracks/1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/audio-analysis/1v0ufp7FLTFcykUGOmFZKa,298133,4
2874,Tropicália - Remastered 2006,0.51,0.696,8,-6.128,1,0.0748,0.191,0.0,0.0973,0.384,96.872,audio_features,4cMbAhrwsZsAHceaGvZy9y,spotify:track:4cMbAhrwsZsAHceaGvZy9y,https://api.spotify.com/v1/tracks/4cMbAhrwsZsAHceaGvZy9y,https://api.spotify.com/v1/audio-analysis/4cMbAhrwsZsAHceaGvZy9y,222107,4
2875,Jigsaw Falling Into Place,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,audio_features,0YJ9FWWHn9EfnN0lHwbzvV,spotify:track:0YJ9FWWHn9EfnN0lHwbzvV,https://api.spotify.com/v1/tracks/0YJ9FWWHn9EfnN0lHwbzvV,https://api.spotify.com/v1/audio-analysis/0YJ9FWWHn9EfnN0lHwbzvV,248893,4
2876,Rest My Chemistry,0.471,0.877,11,-5.576,0,0.0378,0.0193,0.0847,0.276,0.419,150.092,audio_features,1zNeVf6Qk402L4Urb7CcG8,spotify:track:1zNeVf6Qk402L4Urb7CcG8,https://api.spotify.com/v1/tracks/1zNeVf6Qk402L4Urb7CcG8,https://api.spotify.com/v1/audio-analysis/1zNeVf6Qk402L4Urb7CcG8,301093,4
2877,Found God in a Tomato,0.238,0.789,0,-6.453,1,0.0404,0.00213,0.0212,0.349,0.291,82.06,audio_features,4xBFKgS6VAmpmeoG0WJ9Pl,spotify:track:4xBFKgS6VAmpmeoG0WJ9Pl,https://api.spotify.com/v1/tracks/4xBFKgS6VAmpmeoG0WJ9Pl,https://api.spotify.com/v1/audio-analysis/4xBFKgS6VAmpmeoG0WJ9Pl,534213,4
2878,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,audio_features,7rPzEczIS574IgPaiPieS3,spotify:track:7rPzEczIS574IgPaiPieS3,https://api.spotify.com/v1/tracks/7rPzEczIS574IgPaiPieS3,https://api.spotify.com/v1/audio-analysis/7rPzEczIS574IgPaiPieS3,238747,4
2879,Be Above It - Live,0.602,0.971,7,-7.409,1,0.0566,0.171,0.741,0.974,0.186,119.985,audio_features,1ByluhDIW0cUGOzt76a2H3,spotify:track:1ByluhDIW0cUGOzt76a2H3,https://api.spotify.com/v1/tracks/1ByluhDIW0cUGOzt76a2H3,https://api.spotify.com/v1/audio-analysis/1ByluhDIW0cUGOzt76a2H3,449315,4
2880,Two Time,0.832,0.346,0,-9.64,1,0.036,0.112,1.29e-05,0.0945,0.688,98.512,audio_features,7JTGwb6ug0z15F5roNLE0s,spotify:track:7JTGwb6ug0z15F5roNLE0s,https://api.spotify.com/v1/tracks/7JTGwb6ug0z15F5roNLE0s,https://api.spotify.com/v1/audio-analysis/7JTGwb6ug0z15F5roNLE0s,139851,4
